iter	RMSE
0	0.3964113273
1	0.393822087
2	0.3910623837
3	0.3883973122
4	0.3857346362
5	0.3830698423
6	0.3804654905
7	0.3777510607
8	0.3750792024
9	0.3726448471
10	0.3702817365
11	0.367761816
12	0.3654118891
13	0.3630578422
14	0.3606806232
15	0.358212965
16	0.3557351729
17	0.3534542068
18	0.3511605825
19	0.3489392824
20	0.3467186795
21	0.3445274337
22	0.3423024255
23	0.3401536076
24	0.3378564334
25	0.3359718793
26	0.3338951293
27	0.3319982499
28	0.3299748883
29	0.3283622633
30	0.3266176267
31	0.3246160913
32	0.3227802324
33	0.320905898
34	0.3190277575
35	0.3170034628
36	0.3151007634
37	0.3131666438
38	0.3112645062
39	0.3093136486
40	0.3075534079
41	0.3058352548
42	0.3039870226
43	0.3023120591
44	0.3006448193
45	0.2988996942
46	0.2970701156
47	0.2953767495
48	0.293732598
49	0.292224236
50	0.2907731991
51	0.2892237584
52	0.287572823
53	0.2861121463
54	0.2845584569
55	0.2830163056
56	0.2814486761
57	0.2799620595
58	0.2784965362
59	0.277017894
60	0.2755844736
61	0.2741058115
62	0.2726589766
63	0.271301348
64	0.2699081777
65	0.2685188637
66	0.2671567103
67	0.2658105087
68	0.2644594867
69	0.2630769721
70	0.2618698351
71	0.2605545153
72	0.2593335641
73	0.2579798073
74	0.2567033413
75	0.2553260247
76	0.2541909581
77	0.2529959758
78	0.2518045817
79	0.2506195655
80	0.2494849224
81	0.2481821751
82	0.2469855703
83	0.2459791114
84	0.2448495776
85	0.2437555724
86	0.2426181277
87	0.2415432336
88	0.2405292878
89	0.2394142852
90	0.2384322431
91	0.237462803
92	0.2363324294
93	0.2353095644
94	0.234264897
95	0.2332183857
96	0.2321820786
97	0.2312519282
98	0.230228131
99	0.2293355797
100	0.2284070412
101	0.2274174513
102	0.2263560847
103	0.2254426177
104	0.2245154578
105	0.2235429682
106	0.2225643771
107	0.2216509061
108	0.2208090431
109	0.2199359376
110	0.2191486761
111	0.2182691922
112	0.2173970752
113	0.2165107405
114	0.2156312451
115	0.2148269635
116	0.2141088206
117	0.2132799779
118	0.2123999098
119	0.2115854471
120	0.2107663039
121	0.209930941
122	0.209153711
123	0.2084047877
124	0.2076442357
125	0.2068978497
126	0.2061564644
127	0.205514145
128	0.2047826817
129	0.2040983753
130	0.203417609
131	0.2026786628
132	0.2019910819
133	0.2012848033
134	0.2005628081
135	0.1998510132
136	0.1991302513
137	0.1985623303
138	0.1979337076
139	0.1973526609
140	0.1968560473
141	0.1961816602
142	0.1955179842
143	0.1948485786
144	0.1941867078
145	0.1935337815
146	0.1928862222
147	0.1922767446
148	0.19165061
149	0.1911034642
150	0.1905879687
151	0.1899845442
152	0.1894415958
153	0.1888970477
154	0.1883138528
155	0.1876871266
156	0.1870427261
157	0.186473706
158	0.18588953
159	0.1853081507
160	0.184820076
161	0.1842660208
162	0.183704339
163	0.1831837376
164	0.1826319513
165	0.1821178158
166	0.1816039943
167	0.1811758703
168	0.1806764775
169	0.1802493874
170	0.1798405731
171	0.1793109092
172	0.178764451
173	0.1782442481
174	0.1777495862
175	0.1772671782
176	0.1767927049
177	0.1763333587
178	0.1758824008
179	0.1754174943
180	0.1750401931
181	0.1746410321
182	0.1741972468
183	0.1737212109
184	0.1732742083
185	0.1728789072
186	0.1724306951
187	0.1720089528
188	0.1715573991
189	0.1711097297
190	0.1707301717
191	0.1703684612
192	0.1699718949
193	0.1694894979
194	0.1691131356
195	0.1687406528
196	0.1683829267
197	0.1680073144
198	0.1676725756
199	0.1673042513
200	0.1669538844
201	0.1665641577
202	0.1661931905
203	0.1658074944
204	0.1654977713
205	0.1651377113
206	0.1647604796
207	0.1644294977
208	0.1640718344
209	0.1637539994
210	0.1633939326
211	0.1630497912
212	0.1627498722
213	0.1624568214
214	0.1621780891
215	0.1618501058
216	0.1615352946
217	0.1612724976
218	0.1609077773
219	0.1606035865
220	0.1602873295
221	0.1600634222
222	0.1597927219
223	0.1594594734
224	0.159200887
225	0.1589139337
226	0.1586259414
227	0.1583417333
228	0.1580447673
229	0.157754389
230	0.1574461798
231	0.1571670174
232	0.1568996784
233	0.1566355192
234	0.1564096174
235	0.1561941713
236	0.1559316134
237	0.1556889744
238	0.1554342399
239	0.1551891247
240	0.1549602403
241	0.15470972
242	0.1544571355
243	0.154218532
244	0.1539991088
245	0.1537755997
246	0.153564986
247	0.1533025479
248	0.1530654581
249	0.1528116196
250	0.1525433463
251	0.1523253547
252	0.1521096495
253	0.1518655928
254	0.1516164959
255	0.1513969129
256	0.1512200625
257	0.151018507
258	0.1507681232
259	0.1505366276
260	0.1502881392
261	0.1500619938
262	0.1498377187
263	0.1496389245
264	0.1494352992
265	0.1492685499
266	0.1490829654
267	0.1488595741
268	0.1486618626
269	0.14848509
270	0.1482784883
271	0.1480724519
272	0.1479259112
273	0.1476960944
274	0.1475325192
275	0.1473258536
276	0.1471316376
277	0.1469834984
278	0.146801361
279	0.1466281264
280	0.1464440916
281	0.1463048207
282	0.1461389193
283	0.1459633922
284	0.1457748873
285	0.1455678989
286	0.1453735821
287	0.1452056031
288	0.1450180276
289	0.1448726642
290	0.1447013544
291	0.1445148704
292	0.1443438793
293	0.1441717909
294	0.143978304
295	0.1438286464
296	0.1437163623
297	0.1435511901
298	0.1433960726
299	0.1432400777
300	0.1430985699
301	0.1429381915
302	0.1427573868
303	0.1425763909
304	0.1424339178
305	0.1422925865
306	0.1421114349
307	0.1419521543
308	0.1418005823
309	0.1416207436
310	0.1414205857
311	0.1412089781
312	0.1410138579
313	0.1408215529
314	0.1406421239
315	0.1404492533
316	0.140280008
317	0.1401244961
318	0.1399469981
319	0.1397491483
320	0.1395906773
321	0.1394345245
322	0.1392322217
323	0.1390786084
324	0.1389135111
325	0.1387765709
326	0.1386613221
327	0.1385127996
328	0.138376612
329	0.1382251427
330	0.1380885517
331	0.1379296442
332	0.137822716
333	0.1376570958
334	0.1374941851
335	0.1373192942
336	0.137179621
337	0.1370427735
338	0.1368736054
339	0.1367490759
340	0.1366073004
341	0.1364634749
342	0.1363319865
343	0.136203254
344	0.1360996981
345	0.1359794585
346	0.1358652939
347	0.1357140733
348	0.1355707404
349	0.1354832888
350	0.1353566173
351	0.1352678973
352	0.1351571462
353	0.1350529631
354	0.1349445944
355	0.134833819
356	0.1346895014
357	0.1345785766
358	0.1344803898
359	0.1343695321
360	0.1342806368
361	0.1342686965
362	0.1341641739
363	0.1340716736
364	0.1339739613
365	0.1337982409
366	0.1337187694
367	0.1336063893
368	0.1334888915
369	0.1333745019
370	0.1332829876
371	0.1331729941
372	0.1330978864
373	0.1329988566
374	0.1328957517
375	0.1327816445
376	0.1326729027
377	0.1325605846
378	0.1324468542
379	0.1323068823
380	0.1322219332
381	0.1321037949
382	0.1320038023
383	0.1319071315
384	0.131801136
385	0.1317217766
386	0.1316065865
387	0.131473351
388	0.1313911787
389	0.1313163838
390	0.1312341523
391	0.131120431
392	0.1310360721
393	0.1309684931
394	0.1308736484
395	0.1307718706
396	0.1306924096
397	0.1306362172
398	0.1305518237
399	0.1304689398
400	0.1303709156
401	0.1302564212
402	0.1301576148
403	0.1301469645
404	0.130130804
405	0.1300806131
406	0.1299972892
407	0.1299381264
408	0.1298457541
409	0.1298005218
410	0.1297397844
411	0.1296358005
412	0.1295731131
413	0.1294889607
414	0.1293942203
415	0.1293030396
416	0.1292690241
417	0.129188144
418	0.1290915671
419	0.1290067816
420	0.1289172625
421	0.1289070648
422	0.1288325399
423	0.1287347547
424	0.1286657723
425	0.1286556841
426	0.1285680977
427	0.1284677217
