iter	Passed	Remaining
0	14	14746
1	28	14422
2	63	21102
3	83	20871
4	112	22384
5	129	21494
6	146	20756
7	164	20373
8	181	19979
9	196	19412
10	213	19151
11	230	18965
12	246	18712
13	262	18468
14	278	18304
15	294	18131
16	310	17976
17	326	17806
18	346	17879
19	361	17706
20	377	17589
21	392	17428
22	408	17354
23	428	17406
24	444	17339
25	460	17260
26	476	17188
27	491	17078
28	507	17000
29	523	16930
30	540	16890
31	555	16793
32	572	16780
33	588	16722
34	604	16654
35	619	16583
36	636	16563
37	651	16487
38	667	16443
39	682	16368
40	697	16315
41	712	16255
42	729	16232
43	747	16251
44	766	16258
45	783	16242
46	801	16260
47	819	16256
48	838	16264
49	855	16259
50	873	16262
51	890	16236
52	908	16227
53	924	16199
54	942	16191
55	960	16192
56	980	16227
57	997	16208
58	1016	16206
59	1032	16177
60	1050	16176
61	1068	16160
62	1091	16227
63	1107	16202
64	1127	16211
65	1144	16191
66	1161	16180
67	1179	16167
68	1197	16160
69	1214	16141
70	1232	16126
71	1247	16081
72	1264	16062
73	1280	16028
74	1297	16001
75	1312	15954
76	1328	15924
77	1343	15880
78	1359	15850
79	1377	15836
80	1392	15801
81	1407	15761
82	1424	15738
83	1439	15696
84	1457	15685
85	1473	15657
86	1489	15632
87	1504	15590
88	1520	15562
89	1535	15527
90	1551	15501
91	1567	15467
92	1583	15444
93	1599	15413
94	1616	15402
95	1632	15369
96	1648	15344
97	1663	15311
98	1679	15284
99	1694	15246
100	1710	15227
101	1725	15192
102	1741	15170
103	1757	15137
104	1787	15236
105	1803	15210
106	1819	15189
107	1835	15157
108	1851	15135
109	1867	15107
110	1883	15085
111	1899	15056
112	1915	15032
113	1930	15004
114	1946	14983
115	1962	14954
116	1978	14932
117	1993	14897
118	2009	14877
119	2025	14856
120	2041	14831
121	2056	14800
122	2072	14778
123	2088	14754
124	2116	14813
125	2132	14789
126	2148	14768
127	2164	14746
128	2182	14738
129	2199	14719
130	2216	14702
131	2231	14672
132	2247	14649
133	2262	14620
134	2278	14596
135	2294	14576
136	2310	14552
137	2325	14527
138	2341	14506
139	2356	14478
140	2372	14456
141	2387	14426
142	2403	14403
143	2419	14380
144	2460	14509
145	2479	14503
146	2497	14489
147	2512	14466
148	2529	14446
149	2547	14434
150	2565	14422
151	2581	14399
152	2597	14379
153	2612	14353
154	2629	14336
155	2645	14310
156	2661	14289
157	2676	14261
158	2691	14238
159	2707	14212
160	2723	14194
161	2739	14171
162	2756	14155
163	2771	14128
164	2786	14103
165	2802	14079
166	2819	14063
167	2834	14039
168	2851	14021
169	2866	13995
170	2882	13973
171	2897	13949
172	2913	13928
173	2929	13906
174	2945	13885
175	2960	13861
176	2978	13848
177	2994	13830
178	3010	13808
179	3025	13782
180	3041	13762
181	3056	13736
182	3073	13719
183	3088	13694
184	3104	13674
185	3119	13650
186	3135	13632
187	3151	13611
188	3167	13593
189	3182	13568
190	3219	13636
191	3235	13616
192	3266	13659
193	3282	13639
194	3300	13624
195	3316	13602
196	3347	13646
197	3364	13626
198	3380	13608
199	3397	13591
200	3414	13573
201	3430	13550
202	3446	13531
203	3462	13510
204	3479	13493
205	3494	13470
206	3511	13451
207	3526	13426
208	3541	13405
209	3557	13382
210	3573	13364
211	3590	13343
212	3607	13327
213	3622	13305
214	3640	13291
215	3656	13271
216	3673	13253
217	3688	13230
218	3704	13209
219	3719	13186
220	3735	13166
221	3750	13143
222	3766	13124
223	3781	13099
224	3798	13084
225	3816	13069
226	3852	13118
227	3870	13103
228	3886	13085
229	3902	13065
230	3919	13046
231	3935	13028
232	3953	13014
233	3968	12991
234	3985	12973
235	4001	12952
236	4017	12932
237	4031	12907
238	4047	12887
239	4062	12864
240	4080	12849
241	4096	12830
242	4112	12811
243	4127	12788
244	4144	12771
245	4159	12748
246	4175	12728
247	4190	12705
248	4206	12688
249	4223	12671
250	4240	12653
251	4255	12631
252	4271	12612
253	4286	12590
254	4302	12569
255	4317	12549
256	4333	12529
257	4349	12509
258	4365	12490
259	4380	12468
260	4396	12448
261	4412	12428
262	4428	12409
263	4443	12386
264	4460	12370
265	4477	12354
266	4493	12336
267	4509	12315
268	4525	12297
269	4540	12275
270	4556	12256
271	4571	12235
272	4587	12216
273	4603	12198
274	4622	12185
275	4637	12165
276	4653	12146
277	4668	12125
278	4684	12105
279	4699	12084
280	4715	12066
281	4730	12044
282	4748	12029
283	4764	12011
284	4780	11993
285	4798	11979
286	4815	11962
287	4830	11943
288	4847	11924
289	4862	11905
290	4880	11889
291	4895	11870
292	4911	11851
293	4926	11830
294	4960	11853
295	4976	11836
296	5010	11859
297	5027	11843
298	5044	11826
299	5060	11807
300	5092	11826
301	5107	11805
302	5124	11787
303	5139	11767
304	5156	11749
305	5172	11730
306	5188	11712
307	5203	11691
308	5220	11673
309	5234	11651
310	5251	11634
311	5267	11615
312	5284	11599
313	5301	11582
314	5317	11564
315	5333	11543
316	5349	11524
317	5364	11504
318	5380	11486
319	5395	11465
320	5411	11447
321	5430	11433
322	5446	11416
323	5462	11396
324	5479	11380
325	5495	11361
326	5512	11344
327	5527	11324
328	5543	11305
329	5558	11284
330	5574	11266
331	5589	11246
332	5605	11228
333	5622	11210
334	5638	11192
335	5654	11175
336	5672	11159
337	5687	11140
338	5704	11122
339	5720	11103
340	5736	11085
341	5751	11065
342	5768	11048
343	5783	11029
344	5799	11011
345	5816	10994
346	5834	10978
347	5849	10960
348	5866	10942
349	5881	10922
350	5897	10905
351	5912	10884
352	5928	10866
353	5944	10847
354	5960	10828
355	5975	10808
356	5991	10792
357	6007	10772
358	6023	10754
359	6038	10734
360	6054	10716
361	6063	10686
362	6079	10668
363	6095	10650
364	6112	10633
365	6127	10613
366	6143	10596
367	6159	10577
368	6175	10560
369	6190	10540
370	6207	10523
371	6222	10504
372	6254	10514
373	6270	10496
374	6288	10480
375	6304	10462
376	6321	10446
377	6337	10428
378	6353	10410
379	6368	10390
380	6384	10372
381	6399	10353
382	6415	10335
383	6431	10316
384	6447	10298
385	6462	10279
386	6479	10263
387	6495	10246
388	6512	10228
389	6527	10209
390	6543	10192
391	6558	10173
392	6575	10156
393	6590	10136
394	6606	10118
395	6621	10099
396	6640	10086
397	6655	10067
398	6673	10051
399	6688	10032
400	6704	10015
401	6720	9996
402	6736	9979
403	6745	9950
404	6756	9926
405	6772	9907
406	6787	9889
407	6803	9871
408	6818	9853
409	6836	9837
410	6851	9818
411	6868	9802
412	6884	9785
413	6901	9768
414	6916	9749
415	6932	9731
416	6947	9713
417	6964	9696
418	6979	9677
419	6995	9661
420	7011	9643
421	7019	9614
422	7037	9599
423	7053	9581
424	7083	9583
425	7090	9553
426	7106	9535
427	7120	9516
428	7136	9498
429	7152	9481
430	7168	9463
431	7183	9445
432	7199	9427
433	7214	9408
434	7230	9391
435	7245	9373
436	7262	9356
437	7278	9338
438	7296	9324
439	7312	9306
440	7328	9288
441	7343	9270
442	7360	9254
443	7375	9235
444	7390	9217
445	7405	9199
446	7422	9182
447	7439	9166
448	7455	9149
449	7471	9132
450	7488	9115
451	7503	9097
452	7520	9080
453	7535	9062
454	7551	9045
455	7567	9027
456	7601	9031
457	7618	9015
458	7644	9010
459	7665	8998
460	7690	8991
461	7709	8977
462	7726	8961
463	7745	8946
464	7763	8932
465	7815	8956
466	7835	8942
467	7853	8927
468	7871	8912
469	7890	8898
470	7908	8881
471	7925	8866
472	7942	8849
473	7960	8834
474	7981	8821
475	7999	8806
476	8016	8789
477	8034	8773
478	8051	8757
479	8069	8742
480	8088	8727
481	8106	8711
482	8123	8695
483	8142	8681
484	8159	8663
485	8178	8650
486	8196	8633
487	8212	8616
488	8231	8601
489	8250	8587
490	8271	8574
491	8289	8559
492	8309	8545
493	8327	8529
494	8344	8513
495	8363	8498
496	8380	8481
497	8398	8466
498	8416	8449
499	8433	8433
500	8451	8417
501	8469	8401
502	8486	8385
503	8505	8370
504	8522	8354
505	8541	8338
506	8561	8325
507	8577	8307
508	8593	8289
509	8611	8273
510	8630	8258
511	8648	8243
512	8666	8227
513	8684	8211
514	8702	8195
515	8722	8181
516	8741	8166
517	8760	8152
518	8778	8135
519	8797	8120
520	8816	8105
521	8835	8091
522	8851	8072
523	8869	8056
524	8884	8038
525	8900	8020
526	8915	8002
527	8933	7986
528	8949	7968
529	8966	7951
530	8980	7931
531	8995	7913
532	9011	7895
533	9032	7882
534	9048	7864
535	9065	7847
536	9081	7829
537	9096	7811
538	9112	7793
539	9128	7776
540	9144	7758
541	9160	7740
542	9175	7721
543	9191	7704
544	9206	7686
545	9222	7668
546	9238	7650
547	9254	7633
548	9269	7615
549	9286	7598
550	9302	7580
551	9318	7562
552	9333	7544
553	9349	7527
554	9365	7509
555	9373	7485
556	9389	7467
557	9404	7449
558	9421	7432
559	9437	7415
560	9453	7398
561	9469	7379
562	9484	7362
563	9500	7344
564	9517	7327
565	9532	7309
566	9549	7292
567	9564	7274
568	9580	7256
569	9594	7238
570	9603	7215
571	9619	7197
572	9634	7179
573	9651	7162
574	9666	7145
575	9683	7128
576	9698	7110
577	9715	7093
578	9731	7076
579	9748	7059
580	9763	7040
581	9779	7023
582	9794	7005
583	9810	6988
584	9827	6971
585	9843	6954
586	9859	6936
587	9876	6920
588	9891	6901
589	9907	6885
590	9922	6867
591	9939	6850
592	9954	6831
593	9969	6814
594	9985	6796
595	10001	6779
596	10016	6761
597	10045	6753
598	10063	6736
599	10080	6720
600	10095	6702
601	10111	6685
602	10127	6667
603	10142	6650
604	10158	6632
605	10174	6615
606	10190	6598
607	10207	6581
608	10242	6576
609	10260	6559
610	10276	6542
611	10292	6525
612	10309	6508
613	10325	6491
614	10340	6473
615	10357	6456
616	10372	6438
617	10389	6421
618	10404	6404
619	10420	6386
620	10436	6369
621	10452	6352
622	10467	6334
623	10485	6317
624	10500	6300
625	10517	6283
626	10533	6266
627	10549	6249
628	10565	6231
629	10581	6214
630	10596	6196
631	10614	6180
632	10630	6163
633	10647	6146
634	10662	6128
635	10679	6112
636	10694	6094
637	10711	6077
638	10726	6059
639	10743	6043
640	10758	6025
641	10775	6008
642	10790	5991
643	10807	5974
644	10822	5956
645	10838	5939
646	10853	5921
647	10871	5905
648	10887	5888
649	10903	5871
650	10919	5853
651	10935	5836
652	10950	5819
653	10966	5801
654	10982	5784
655	10998	5767
656	11015	5750
657	11032	5733
658	11048	5716
659	11065	5700
660	11080	5682
661	11096	5665
662	11111	5648
663	11128	5631
664	11143	5613
665	11159	5596
666	11174	5578
667	11191	5562
668	11206	5544
669	11223	5527
670	11239	5510
671	11255	5493
672	11271	5476
673	11287	5459
674	11303	5442
675	11319	5425
676	11334	5407
677	11350	5390
678	11365	5373
679	11383	5356
680	11398	5339
681	11416	5323
682	11432	5306
683	11449	5289
684	11464	5271
685	11480	5255
686	11496	5237
687	11511	5220
688	11526	5202
689	11543	5186
690	11558	5168
691	11574	5151
692	11590	5134
693	11606	5117
694	11621	5099
695	11638	5083
696	11653	5066
697	11666	5047
698	11682	5030
699	11699	5013
700	11715	4997
701	11730	4979
702	11747	4963
703	11762	4945
704	11778	4928
705	11794	4911
706	11810	4894
707	11827	4878
708	11844	4861
709	11860	4844
710	11876	4827
711	11891	4810
712	11907	4793
713	11922	4775
714	11938	4758
715	11953	4741
716	11969	4724
717	11985	4707
718	12001	4690
719	12016	4673
720	12032	4656
721	12049	4639
722	12065	4622
723	12082	4605
724	12098	4588
725	12113	4571
726	12130	4555
727	12145	4537
728	12160	4520
729	12176	4503
730	12192	4486
731	12207	4469
732	12226	4453
733	12242	4436
734	12258	4419
735	12274	4402
736	12291	4386
737	12306	4369
738	12323	4352
739	12337	4334
740	12354	4318
741	12369	4300
742	12385	4284
743	12401	4267
744	12417	4250
745	12432	4233
746	12449	4216
747	12464	4199
748	12498	4188
749	12514	4171
750	12545	4159
751	12561	4142
752	12578	4126
753	12594	4109
754	12611	4092
755	12628	4075
756	12645	4059
757	12660	4041
758	12677	4025
759	12692	4008
760	12709	3991
761	12724	3974
762	12742	3958
763	12758	3941
764	12774	3924
765	12790	3907
766	12807	3890
767	12823	3873
768	12840	3857
769	12855	3840
770	12871	3823
771	12888	3806
772	12905	3789
773	12921	3772
774	12937	3756
775	12952	3738
776	12969	3722
777	12983	3704
778	12999	3687
779	13014	3670
780	13031	3654
781	13050	3638
782	13066	3621
783	13082	3604
784	13099	3587
785	13114	3570
786	13129	3553
787	13145	3536
788	13161	3519
789	13176	3502
790	13192	3485
791	13207	3468
792	13223	3451
793	13240	3435
794	13256	3418
795	13271	3401
796	13288	3384
797	13304	3367
798	13321	3351
799	13337	3334
800	13352	3317
801	13367	3300
802	13384	3283
803	13399	3266
804	13415	3249
805	13431	3232
806	13448	3216
807	13466	3199
808	13483	3183
809	13497	3166
810	13513	3149
811	13535	3133
812	13559	3118
813	13590	3105
814	13609	3089
815	13625	3072
816	13641	3055
817	13656	3038
818	13674	3022
819	13689	3005
820	13706	2988
821	13722	2971
822	13739	2954
823	13755	2937
824	13771	2921
825	13787	2904
826	13802	2887
827	13818	2870
828	13835	2853
829	13851	2836
830	13868	2820
831	13885	2803
832	13901	2787
833	13917	2770
834	13934	2753
835	13949	2736
836	13966	2719
837	13981	2702
838	13997	2686
839	14013	2669
840	14029	2652
841	14045	2635
842	14062	2618
843	14078	2602
844	14094	2585
845	14109	2568
846	14126	2551
847	14141	2534
848	14156	2517
849	14171	2500
850	14188	2484
851	14203	2467
852	14219	2450
853	14234	2433
854	14251	2416
855	14268	2400
856	14286	2383
857	14302	2367
858	14318	2350
859	14333	2333
860	14349	2316
861	14364	2299
862	14380	2282
863	14396	2266
864	14412	2249
865	14427	2232
866	14443	2215
867	14460	2199
868	14476	2182
869	14492	2165
870	14508	2148
871	14525	2132
872	14543	2115
873	14559	2098
874	14576	2082
875	14593	2065
876	14609	2049
877	14625	2032
878	14642	2015
879	14657	1998
880	14688	1983
881	14703	1967
882	14720	1950
883	14736	1933
884	14753	1917
885	14768	1900
886	14786	1883
887	14802	1866
888	14818	1850
889	14833	1833
890	14849	1816
891	14866	1799
892	14882	1783
